sales_raw_id,customer_id,prod_code,sales_date,transaction_number,transaction_line_number,unit_price,discount_pct,sales_qty,extended_sales_total
 10000,C40540,1049,2000-01-02, 5000573, 1, 206.99, 20, 2,331.18
 10001,C40540,1008,2003-01-04, 5000056, 1, 62.88, 15, 3,160.34
 10002,C17353,1012,2000-01-05, 5000154, 1, 38.54, 15, 4,131.04
 10003,C45520,1054,2000-01-22, 5000430, 1, 200.0, 10, 2,360
 10004,C45520,1030,2000-01-22, 5000430, 2, 22.75, 0, 5,113.75
 10005,C74201,1053,2000-01-31, 5000763, 1, 93.0, 15, 4,316.2
 10006,C74201,1045,2000-01-31, 5000763, 2, 99.99, 10, 4,359.96
 10007,C67389,1042,2000-02-03, 5000158, 1, 89.99, 15, 3,229.47
 10008,C69294,1038,2000-02-05, 5000323, 1, 16.99, 5, 2,32.28
 10009,C71637,1012,2000-02-06, 5000534, 1, 38.54, 5, 2,73.23
 10010,C53650,1012,2000-02-10, 5001160, 1, 38.54, 15, 3,98.28
 10011,C53650,1004,2000-02-10, 5001160, 2, 59.99, 0, 2,119.98
 10012,C92261,1013,2000-02-11, 5000144, 1, 10.74, 10, 5,48.33
 10013,C68195,1012,2000-02-13, 5000241, 1, 38.54, 5, 1,36.61
 10014,C73468,1030,2000-02-14, 5000698, 1, 22.75, 15, 1,19.34
 10015,C48670,1051,2000-02-18, 5000722, 1, 122.37, 10, 3,330.4
 10016,C95118,1004,2000-02-24, 5000394, 1, 59.99, 5, 2,113.98
 10017,C24164,1054,2000-02-26, 5000760, 1, 200.0, 20, 3,480
 10018,C97022,1024,2000-02-29, 5000574, 1, 25.0, 0, 5,125
 10019,C3980,1048,2000-03-02, 5001190, 1, 104.49, 10, 2,188.08
 10020,C3980,1003,2000-03-02, 5001190, 2, 12.99, 0, 3,38.97
 10021,C3980,1009,2000-03-02, 5001190, 3, 16.99, 20, 4,54.37
 10022,C69660,1010,2000-03-05, 5000353, 1, 69.99, 5, 1,66.49
 10023,C25336,1014,2000-03-08, 5000859, 1, 17.49, 10, 2,31.48
 10024,C71784,1014,2000-03-11, 5000549, 1, 17.49, 5, 3,49.85
 10025,C25190,1039,2000-03-14, 5000848, 1, 34.0, 0, 4,136
 10026,C48304,1019,2000-03-15, 5000684, 1, 79.7, 15, 2,135.49
 10027,C97168,1010,2000-03-15, 5000585, 1, 69.99, 0, 2,139.98
