order_raw_id,customer_id,prod_code,order_date,order_number,order_line_number,unit_price,discount_pct,order_qty,extended_order_total
 10000,C19770,1045,2000-01-17, 5000142, 1, 99.99, 0, 5,499.95
 10001,C831,1015,2000-01-25, 5000339, 1, 8.0, 20, 2,12.8
 10002,C977,1026,2000-02-04, 5000344, 1, 18.15, 5, 3,51.73
 10003,C97022,1042,2000-02-10, 5000220, 1, 89.99, 0, 4,359.96
 10004,C3248,1012,2000-02-21, 5000418, 1, 38.54, 15, 4,131.04
 10005,C41492,1015,2000-02-25, 5000034, 1, 8.0, 15, 5,34
 10006,C91309,1025,2000-02-29, 5000028, 1, 39.94, 5, 5,189.71
 10007,C51819,1000,2000-03-06, 5000367, 1, 1000.0, 5, 2,1900
 10008,C90943,1051,2000-03-17, 5000015, 1, 122.37, 5, 4,465.01
 10009,C78815,1018,2000-03-22, 5000445, 1, 44.99, 10, 2,80.98
 10010,C67389,1024,2000-03-25, 5000060, 1, 25.0, 15, 3,63.75
 10011,C46839,1025,2000-04-19, 5000210, 1, 39.94, 10, 4,143.78
 10012,C44568,1002,2000-04-27, 5000137, 1, 14.97, 5, 2,28.44
 10013,C28559,1049,2000-04-28, 5000432, 1, 206.99, 0, 1,206.99
 10014,C47571,1022,2000-05-05, 5000236, 1, 13.99, 20, 4,44.77
 10015,C73688,1024,2000-05-05, 5000269, 1, 25.0, 10, 4,90
 10016,C831,1050,2000-05-25, 5000340, 1, 98.96, 10, 5,445.32
 10017,C68561,1012,2000-06-07, 5000103, 1, 38.54, 10, 3,104.06
 10018,C96582,1033,2000-06-14, 5000203, 1, 19.95, 5, 3,56.86
 10019,C23505,1006,2000-06-15, 5000264, 1, 41.99, 5, 1,39.89
 10020,C318,1015,2000-06-19, 5000321, 1, 8.0, 0, 4,32
 10021,C18744,1052,2000-06-26, 5000109, 1, 107.96, 15, 3,275.3
 10022,C94971,1018,2000-06-30, 5000151, 1, 44.99, 20, 5,179.96
 10023,C78596,1010,2000-07-04, 5000435, 1, 69.99, 5, 3,199.47
 10024,C95337,1009,2000-07-13, 5000160, 1, 16.99, 10, 4,61.16
 10025,C96289,1039,2000-07-18, 5000191, 1, 34.0, 5, 3,96.9
 10026,C46399,1022,2000-07-24, 5000199, 1, 13.99, 15, 2,23.78
 10027,C28339,1002,2000-07-27, 5000423, 1, 14.97, 10, 5,67.37
 10028,C23359,1038,2000-08-02, 5000258, 1, 16.99, 20, 3,40.78
 10029,C23359,1015,2000-08-02, 5000258, 2, 8.0, 10, 1,7.2
 10030,C21967,1015,2000-09-03, 5000217, 1, 8.0, 10, 2,14.4
 10031,C74128,1010,2000-09-04, 5000283, 1, 69.99, 20, 4,223.97
 10032,C51819,1032,2000-09-06, 5000368, 1, 4.5, 15, 4,15.3
 10033,C4273,1022,2000-09-14, 5000460, 1, 13.99, 10, 1,12.59
 10034,C24823,1005,2000-09-18, 5000302, 1, 26.99, 20, 1,21.59
 10035,C48377,1018,2000-09-21, 5000259, 1, 44.99, 20, 2,71.98
 10036,C16767,1049,2000-10-15, 5000043, 1, 206.99, 5, 2,393.28
 10037,C75226,1032,2000-11-16, 5000316, 1, 4.5, 0, 2,9
 10038,C53797,1039,2000-11-19, 5000443, 1, 34.0, 15, 4,115.6
 10039,C98487,1004,2000-12-09, 5000263, 1, 59.99, 0, 2,119.98
 10040,C52625,1014,2000-12-20, 5000391, 1, 17.49, 10, 4,62.96
 10041,C41712,1042,2000-12-21, 5000042, 1, 89.99, 0, 1,89.99
 10042,C69587,1007,2001-01-09, 5000138, 1, 7.96, 15, 2,13.53
 10043,C26948,1033,2001-01-18, 5000373, 1, 19.95, 0, 2,39.9
 10044,C95557,1045,2001-01-26, 5000165, 1, 99.99, 0, 3,299.97
 10045,C95557,1039,2001-01-26, 5000165, 2, 34.0, 5, 1,32.3
 10046,C99952,1041,2001-01-28, 5000305, 1, 28.94, 5, 4,109.97
 10047,C69294,1015,2001-02-03, 5000125, 1, 8.0, 5, 1,7.6
 10048,C23432,1033,2001-02-10, 5000261, 1, 19.95, 15, 4,67.83
 10049,C76105,1001,2001-02-13, 5000349, 1, 53.5, 15, 5,227.38
 10050,C98560,1019,2001-02-14, 5000266, 1, 79.7, 10, 4,286.92
 10051,C49256,1033,2001-02-18, 5000286, 1, 19.95, 10, 4,71.82
 10052,C19037,1034,2001-03-18, 5000117, 1, 8.49, 15, 3,21.65
 10053,C25190,1015,2001-03-19, 5000315, 1, 8.0, 15, 4,27.2
