sales_raw_id,customer_id,prod_code,sales_date,transaction_number,transaction_line_number,unit_price,discount_pct,sales_qty,extended_sales_total
 10000,C71418,1025,2000-01-04, 5000671, 1, 39.94, 10, 2,71.89
 10001,C54017,1040,2000-01-06, 5001529, 1, 32.12, 15, 3,81.91
 10002,C29365,1023,2000-01-13, 5001568, 1, 29.99, 15, 2,50.98
 10003,C68415,1039,2000-01-23, 5000319, 1, 34.0, 0, 5,170
 10004,C29511,1029,2000-01-31, 5001584, 1, 21.48, 5, 3,61.22
 10005,C47937,1048,2000-01-31, 5000854, 1, 104.49, 20, 4,334.37
 10006,C47937,1050,2000-01-31, 5000854, 2, 98.96, 10, 5,445.32
 10007,C76032,1011,2000-02-02, 5001189, 1, 24.99, 0, 5,124.95
 10008,C76032,1024,2000-02-02, 5001189, 2, 25.0, 10, 5,112.5
 10009,C70026,1040,2000-02-08, 5000491, 1, 32.12, 10, 1,28.91
 10010,C70026,1022,2000-02-08, 5000491, 2, 13.99, 15, 5,59.46
 10011,C20209,1021,2000-02-13, 5000515, 1, 24.99, 10, 4,89.96
 10012,C99073,1002,2000-02-14, 5000976, 1, 14.97, 15, 4,50.9
 10013,C95264,1034,2000-02-15, 5000520, 1, 8.49, 5, 4,32.26
 10014,C21747,1020,2000-02-18, 5000720, 1, 26.99, 10, 2,48.58
 10015,C78815,1053,2000-02-18, 5001508, 1, 93.0, 5, 2,176.7
 10016,C78815,1002,2000-02-18, 5001508, 2, 14.97, 5, 4,56.89
 10017,C78815,1006,2000-02-18, 5001508, 3, 41.99, 10, 3,113.37
 10018,C78815,1016,2000-02-18, 5001508, 4, 5.99, 10, 4,21.56
 10019,C46839,1031,2000-02-22, 5000730, 1, 17.99, 15, 1,15.29
 10020,C46839,1028,2000-02-22, 5000730, 2, 4.5, 0, 3,13.5
 10021,C96509,1028,2000-02-23, 5000690, 1, 4.5, 15, 3,11.47
 10022,C96509,1033,2000-02-23, 5000690, 2, 19.95, 10, 4,71.82
 10023,C43470,1048,2000-02-27, 5000324, 1, 104.49, 10, 4,376.16
 10024,C49183,1025,2000-03-01, 5000987, 1, 39.94, 10, 4,143.78
 10025,C49183,1015,2000-03-01, 5000987, 2, 8.0, 0, 5,40
 10026,C49183,1001,2000-03-01, 5000987, 3, 53.5, 15, 3,136.43
 10027,C18378,1020,2000-03-02, 5000316, 1, 26.99, 15, 1,22.94
 10028,C68854,1008,2000-03-03, 5000364, 1, 62.88, 5, 4,238.94
 10029,C68854,1021,2000-03-03, 5000364, 2, 24.99, 20, 5,99.96
 10030,C16034,1034,2000-03-04, 5000042, 1, 8.49, 15, 3,21.65
 10031,C16034,1037,2000-03-04, 5000042, 2, 54.94, 15, 2,93.4
 10032,C93946,1015,2000-03-05, 5000376, 1, 8.0, 5, 3,22.8
 10033,C98487,1028,2000-03-11, 5000907, 1, 4.5, 10, 1,4.05
 10034,C17206,1034,2000-03-13, 5000181, 1, 8.49, 10, 4,30.56
 10035,C70099,1051,2000-03-15, 5000500, 1, 122.37, 0, 2,244.74
 10036,C42957,1019,2000-03-16, 5000268, 1, 79.7, 10, 3,215.19
 10037,C98194,1027,2000-03-16, 5000884, 1, 4.5, 15, 5,19.12
 10038,C98194,1012,2000-03-16, 5000884, 2, 38.54, 0, 3,115.62
 10039,C50062,1047,2000-03-19, 5001085, 1, 56.95, 10, 4,205.02
 10040,C90869,1028,2000-03-20, 5000025, 1, 4.5, 5, 3,12.82
 10041,C92188,1035,2000-03-21, 5000179, 1, 43.95, 10, 4,158.22
 10042,C20356,1049,2000-03-24, 5000533, 1, 206.99, 15, 2,351.88
 10043,C22992,1010,2000-03-28, 5000860, 1, 69.99, 10, 2,125.98
 10044,C4346,1011,2000-03-28, 5001563, 1, 24.99, 5, 3,71.22
 10045,C70539,1028,2000-03-28, 5000563, 1, 4.5, 10, 4,16.2
 10046,C79328,1024,2000-03-28, 5001560, 1, 25.0, 10, 3,67.5
 10047,C53870,1012,2000-03-29, 5001512, 1, 38.54, 15, 2,65.52
 10048,C53870,1045,2000-03-29, 5001512, 2, 99.99, 10, 4,359.96
 10049,C71784,1035,2000-03-29, 5000725, 1, 43.95, 20, 4,140.64
 10050,C71784,1045,2000-03-29, 5000725, 2, 99.99, 10, 4,359.96
 10051,C48743,1018,2000-04-04, 5000940, 1, 44.99, 20, 2,71.98
 10052,C72809,1038,2000-04-04, 5000834, 1, 16.99, 10, 5,76.45
 10053,C72809,1018,2000-04-04, 5000834, 2, 44.99, 15, 3,114.72
 10054,C92261,1017,2000-04-04, 5000188, 1, 19.95, 15, 3,50.87
 10055,C90576,1023,2000-04-06, 5000003, 1, 29.99, 15, 5,127.46
 10056,C67755,1018,2000-04-16, 5000243, 1, 44.99, 10, 2,80.98
 10057,C26215,1004,2000-04-18, 5001209, 1, 59.99, 15, 4,203.97
 10058,C41712,1050,2000-04-25, 5000125, 1, 98.96, 5, 4,376.05
 10059,C47425,1020,2000-04-25, 5000796, 1, 26.99, 15, 3,68.82
 10060,C26728,1043,2000-05-04, 5001268, 1, 24.99, 15, 2,42.48
 10061,C65851,1049,2000-05-07, 5000024, 1, 206.99, 15, 1,175.94
