sales_raw_id,customer_id,prod_code,sales_date,transaction_number,transaction_line_number,unit_price,discount_pct,sales_qty,extended_sales_total
 10000,C72443,1021,2000-01-05, 5000242, 1, 24.99, 5, 3,71.22
 10001,C96143,1029,2000-02-10, 5000196, 1, 21.48, 5, 2,40.81
 10002,C96143,1044,2000-02-10, 5000196, 2, 22.99, 15, 3,58.62
 10003,C71125,1054,2000-02-12, 5000194, 1, 200.0, 10, 4,720
 10004,C67463,1010,2000-03-31, 5000073, 1, 69.99, 10, 3,188.97
 10005,C50281,1047,2000-04-08, 5000332, 1, 56.95, 0, 5,284.75
 10006,C94458,1035,2000-04-16, 5000133, 1, 43.95, 0, 3,131.85
 10007,C54310,1009,2000-04-20, 5000456, 1, 16.99, 0, 2,33.98
 10008,C69074,1021,2000-04-26, 5000121, 1, 24.99, 15, 4,84.97
 10009,C29291,1019,2000-04-30, 5000455, 1, 79.7, 5, 3,227.15
 10010,C66877,1043,2000-05-12, 5000044, 1, 24.99, 10, 3,67.47
 10011,C20575,1015,2000-05-21, 5000183, 1, 8.0, 15, 2,13.6
 10012,C20575,1044,2000-05-21, 5000183, 2, 22.99, 10, 4,82.76
 10013,C70465,1046,2000-05-23, 5000176, 1, 183.17, 10, 2,329.71
 10014,C69733,1035,2000-06-03, 5000150, 1, 43.95, 5, 3,125.26
 10015,C51893,1025,2000-06-05, 5000385, 1, 39.94, 5, 3,113.83
 10016,C27314,1021,2000-06-09, 5000394, 1, 24.99, 0, 5,124.95
 10017,C19623,1032,2000-06-17, 5000144, 1, 4.5, 15, 1,3.82
 10018,C19623,1013,2000-06-17, 5000144, 2, 10.74, 0, 2,21.48
 10019,C43616,1013,2000-06-23, 5000104, 1, 10.74, 10, 5,48.33
 10020,C44202,1001,2000-06-28, 5000124, 1, 53.5, 10, 3,144.45
 10021,C21308,1027,2000-07-25, 5000198, 1, 4.5, 15, 1,3.82
 10022,C21308,1009,2000-07-25, 5000198, 2, 16.99, 20, 2,27.18
 10023,C3101,1050,2000-08-08, 5000419, 1, 98.96, 5, 3,282.04
 10024,C3101,1006,2000-08-08, 5000419, 2, 41.99, 10, 1,37.79
 10025,C99878,1045,2000-08-13, 5000313, 1, 99.99, 5, 4,379.96
 10026,C24823,1005,2000-08-15, 5000311, 1, 26.99, 10, 5,121.45
 10027,C54163,1046,2000-08-16, 5000449, 1, 183.17, 5, 2,348.02
 10028,C45008,1033,2000-09-12, 5000156, 1, 19.95, 5, 3,56.86
 10029,C24750,1016,2000-09-15, 5000309, 1, 5.99, 10, 2,10.78
 10030,C75153,1013,2000-09-24, 5000323, 1, 10.74, 5, 5,51.02
 10031,C99585,1019,2000-10-06, 5000307, 1, 79.7, 15, 5,338.73
 10032,C44568,1015,2000-10-30, 5000140, 1, 8.0, 5, 3,22.8
 10033,C65924,1024,2000-11-01, 5000009, 1, 25.0, 20, 3,60
 10034,C97022,1036,2000-11-02, 5000223, 1, 28.24, 0, 4,112.96
 10035,C26288,1007,2000-11-10, 5000369, 1, 7.96, 15, 2,13.53
 10036,C25629,1009,2000-12-03, 5000339, 1, 16.99, 10, 3,45.87
 10037,C25629,1049,2000-12-03, 5000339, 2, 206.99, 15, 1,175.94
 10038,C75886,1003,2000-12-03, 5000348, 1, 12.99, 10, 2,23.38
 10039,C97242,1016,2000-12-08, 5000234, 1, 5.99, 20, 4,19.17
 10040,C97242,1046,2000-12-08, 5000234, 2, 183.17, 20, 1,146.54
 10041,C47059,1046,2000-12-15, 5000226, 1, 183.17, 5, 4,696.05
 10042,C76545,1026,2000-12-28, 5000375, 1, 18.15, 5, 1,17.24
 10043,C2515,1026,2001-01-04, 5000400, 1, 18.15, 5, 2,34.48
 10044,C16693,1019,2001-02-12, 5000036, 1, 79.7, 10, 4,286.92
 10045,C53504,1030,2001-02-13, 5000426, 1, 22.75, 15, 2,38.67
 10046,C20502,1021,2001-02-17, 5000180, 1, 24.99, 15, 1,21.24
 10047,C20502,1016,2001-02-17, 5000180, 2, 5.99, 5, 2,11.38
 10048,C44641,1032,2001-02-17, 5000145, 1, 4.5, 15, 3,11.47
 10049,C73908,1051,2001-02-20, 5000289, 1, 122.37, 15, 2,208.03
 10050,C171,1007,2001-02-28, 5000325, 1, 7.96, 20, 4,25.47
 10051,C92847,1030,2001-03-01, 5000086, 1, 22.75, 15, 2,38.67
 10052,C23139,1047,2001-03-07, 5000263, 1, 56.95, 0, 5,284.75
 10053,C50281,1010,2001-03-10, 5000331, 1, 69.99, 15, 4,237.97
